============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  1 um) ================================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   85  1 .1987090E+07   1000033E-02 -.1936E+00 -.6074E+01   .9999997 -.0007014 -.0001491
T   86  1 .1982106E+07   1000113E-02  .1246E+02 -.3344E+01   .9999969  .0020362  .0014279
T   87  1 .1980212E+07   1000183E-02  .6205E+01  .5995E+01   .9999939  .0029132  .0019204
T   88  1 .1982427E+07   1000063E-02 -.1441E+02  .4655E+00   .9999958 -.0028872 -.0000948
T   89  1 .1982266E+07   1000195E-02  .1509E+02  .1653E+00   .9999961  .0021389  .0017996
T   90  1 .1985812E+07   1000031E-02 -.7371E+01  .2702E+01   .9999921 -.0039283  .0006772
T   91  1 .1979123E+07   1000222E-02  .3683E+01 -.1954E+01   .9999964  .0026516 -.0003694
T   92  1 .1982881E+07   1000125E-02 -.1759E+01  .5243E+00   .9999996 -.0008395  .0003524
T   93  1 .1985671E+07   1000110E-02 -.2471E+01  .8803E+01   .9999951 -.0004302  .0031106
T   94  1 .1982824E+07   1000102E-02  .5535E+00 -.6852E+00   .9999994  .0010663 -.0001718
T   95  1 .1987835E+07   1000176E-02  .4908E+01  .7353E+01   .9999990  .0005602  .0013182
T   96  1 .1984675E+07   1000158E-02 -.1155E+02 -.1448E+00   .9999955 -.0029156  .0006846
T   97  1 .1985451E+07   1000006E-02  .5590E+01 -.8039E+00   .9999999  .0004204 -.0000655
T   98  1 .1980928E+07   1000108E-02 -.8715E+00  .2732E+02   .9999952  .0030133  .0007435
T   99  1 .1985402E+07   1000101E-02  .2717E+01  .2422E+01   .9999988 -.0009798  .0012328
T  100  1 .1987427E+07   1000021E-02 -.1341E+01 -.3742E+01   .9999972 -.0022670 -.0006029
T  101  1 .1983852E+07   1000033E-02 -.2266E+01 -.3822E+01   .9999967 -.0010037 -.0023733
T  102  1 .1987712E+07   1000190E-02 -.7232E+01  .1351E+02   .9999931 -.0016244  .0033370
T  103  1 .1984682E+07   1000024E-02  .7695E+01 -.2998E+02   .9999596  .0023398 -.0086842
T  104  1 .1984467E+07   1000096E-02 -.6576E+01  .4171E+01   .9999934 -.0023643  .0027580
T  105  1 .1987153E+07   1000149E-02  .7470E+00 -.1460E+01   .9999970 -.0023332  .0007146
T  106  1 .1983151E+07   1000203E-02 -.5335E+01 -.9309E+01   .9999973 -.0011175 -.0020382
T  107  1 .1985446E+07   1000181E-02  .1571E+02  .2808E+01   .9999928  .0037843 -.0003847
T  108  1 .1984638E+07   1000105E-02  .5340E+01 -.6842E+00   .9999968  .0017097 -.0018434
T  109  1 .1984655E+07   1000159E-02  .1868E+01  .6812E+00   .9999980  .0020039 -.0000957
T  110  1 .1984324E+07   1000159E-02  .4694E+01 -.3628E+02   .9999800  .0008512 -.0062739
T  111  1 .1979493E+07   1000209E-02 -.8816E+00 -.1709E+02   .9999935 -.0000978 -.0036082
T  112  1 .1985923E+07   1000108E-02  .3912E+01 -.3445E+01   .9999966  .0023932 -.0010427
T  113  1 .1983933E+07   1000097E-02  .4695E+01  .1054E+02   .9999901  .0021376  .0039044
T  114  1 .1984223E+07   1000223E-02  .8818E+01 -.7999E+01   .9999989  .0011949 -.0008411
T  115  1 .1987370E+07   1000089E-02  .2583E+01 -.2742E+01   .9999978  .0016754 -.0012375
T  116  1 .1982567E+07   1000085E-02  .4909E+01  .4352E+01   .9999995  .0008440  .0005032
T  117  1 .1985212E+07   1000151E-02 -.1249E+01 -.5243E+01   .9999981  .0018261 -.0006160
T  118  1 .1984781E+07   1000123E-02 -.1700E+01  .3989E+01   .9999961 -.0013412  .0024369
T  119  1 .1981174E+07   1000165E-02  .1716E+01 -.4043E+00   .9999999  .0001476  .0003367
T  120  1 .1988106E+07   1000186E-02  .2032E+01  .9910E+01   .9999984  .0013054  .0012462
T  121  1 .1986715E+07   1000116E-02  .4776E+02  .1828E+03   .9937790  .0301914  .1071993
T  122  1 .1982382E+07   1000195E-02  .4448E+01  .1908E+02   .9999903 -.0004649  .0043713
T  123  1 .1986966E+07   1000190E-02 -.1129E+01  .1834E+01   .9999989 -.0011246  .0010099
T  124  1 .1981630E+07   1000139E-02  .5062E+01 -.3185E+01   .9999972 -.0003002 -.0023551
T  125  1 .1983340E+07   1000203E-02 -.1333E+01 -.9708E+01   .9999893 -.0028346 -.0036673
T  126  1 .1985854E+07   1000099E-02 -.2743E+01  .1158E+01   .9999979 -.0019861  .0005586
T  127  1 .1980814E+07   1000035E-02  .1014E+02 -.6438E+01   .9999976  .0020456 -.0007874
T  128  1 .1983054E+07   1000222E-02 -.2708E+01 -.1378E+02   .9999961 -.0020064 -.0019239
T  129  1 .1985363E+07   1000184E-02  .9025E+01  .1370E+02   .9999946  .0010312  .0031245
T  130  1 .1984997E+07   1000154E-02  .1894E+02  .6825E+01   .9999745  .0069176  .0017533
