============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  5 um) ================================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   92  1 .1926610E+07   5000187E-02  .2418E+02 -.3573E+01   .9999942  .0033264  .0006826
T   93  1 .1922564E+07   5000041E-02  .3693E+00 -.8661E+01   .9999980 -.0019020 -.0006508
T   94  1 .1920586E+07   5000103E-02 -.4831E+02 -.5725E+02   .9999667 -.0032180 -.0074968
T   95  1 .1927595E+07   5000178E-02 -.1329E+03  .7126E+02   .9999657 -.0070441  .0043457
T   96  1 .1915156E+07   5000127E-02 -.7025E+02  .3429E+00   .9999892 -.0044351 -.0013923
T   97  1 .1923382E+07   5000191E-02  .2179E+03  .4236E+02   .9999593  .0089347 -.0012542
T   98  1 .1937337E+07   5000056E-02  .1252E+03 -.2738E+02   .9999902  .0037492 -.0023339
T   99  1 .1928824E+07   5000099E-02 -.1048E+03  .2617E+02   .9999981 -.0013852  .0013457
T  100  1 .1914373E+07   5000160E-02 -.9308E+01  .2207E+02   .9999987 -.0016220 -.0001112
T  101  1 .1924199E+07   5000113E-02 -.9640E+00 -.9371E+01   .9999986 -.0016619  .0000179
T  102  1 .1930160E+07   5000162E-02  .1134E+03 -.1156E+03   .9999820  .0031414 -.0051070
T  103  1 .1923258E+07   5000026E-02 -.2032E+02 -.3578E+02   .9996331  .0270551  .0013254
T  104  1 .1933130E+07   5000040E-02 -.7546E+02 -.5698E+02   .9999834 -.0005711 -.0057268
T  105  1 .1923946E+07   5000003E-02 -.1139E+03 -.3205E+02   .9999908 -.0042807  .0002064
T  106  1 .1918419E+07   5000035E-02 -.1169E+02 -.4583E+02   .9999904 -.0022178 -.0037826
T  107  1 .1922966E+07   5000190E-02  .3621E+02 -.7787E+02   .9999821  .0046767 -.0037236
T  108  1 .1927445E+07   5000135E-02 -.1359E+03 -.5180E+02   .9999237 -.0110552 -.0055165
T  109  1 .1929894E+07   5000224E-02 -.2879E+03 -.7050E+02   .9999602 -.0089113  .0003956
T  110  1 .1920702E+07   5000095E-02  .4367E+02 -.3946E+01   .9999894  .0040943  .0021201
T  111  1 .1925364E+07   5000222E-02  .1088E+03 -.4266E+02   .9999720  .0073804  .0012638
T  112  1 .1916746E+07   5000089E-02 -.3609E+02 -.2377E+02   .9999970 -.0024163 -.0004947
T  113  1 .1911522E+07   5000094E-02 -.7468E+02 -.4504E+02   .9999704 -.0075248 -.0016072
T  114  1 .1917115E+07   5000053E-02 -.5953E+02 -.7469E+02   .9999856 -.0009175 -.0052852
T  115  1 .1915357E+07   5000178E-02  .1001E+03 -.6763E+02   .9999476  .0091987 -.0044949
T  116  1 .1927854E+07   5000078E-02  .2185E+02  .8342E+00   .9999950  .0025735  .0018198
T  117  1 .1924285E+07   5000106E-02  .1226E+02 -.4743E+02   .9999824  .0012709 -.0058006
T  118  1 .1923132E+07   5000119E-02 -.2979E+03 -.1541E+03   .9999268 -.0112487 -.0044473
T  119  1 .1911737E+07   5000141E-02 -.5112E+02 -.5199E+02   .9999871 -.0044645  .0024273
T  120  1 .1923489E+07   5000104E-02  .2578E+02  .3889E+02   .9999678  .0051551  .0061561
T  121  1 .1929511E+07   5000057E-02  .1984E+01 -.5875E+01   .9999975  .0020256  .0009006
T  122  1 .1918859E+07   5000052E-02  .5263E+02 -.2523E+00   .9999972  .0015373  .0018139
T  123  1 .1922413E+07   5000197E-02 -.1420E+02 -.7059E+02   .9999907  .0041792 -.0010504
T  124  1 .1924738E+07   5000157E-02  .1189E+02 -.8923E+02   .9999967  .0003028 -.0025639
T  125  1 .1927050E+07   5000078E-02  .8307E+02  .2577E+02   .9999893  .0045477  .0008351
T  126  1 .1928882E+07   5000200E-02 -.1639E+02 -.5945E+01   .9999997 -.0007580  .0001608
T  127  1 .1922219E+07   5000169E-02 -.1231E+01 -.3314E+01   .9999901  .0021405  .0038886
T  128  1 .1924011E+07   5000006E-02 -.1100E+02  .1342E+02   .9999968  .0000868  .0025263
T  129  1 .1929583E+07   5000035E-02  .4860E+02  .1371E+03   .9999630  .0036216  .0078018
T  130  1 .1919812E+07   5000164E-02  .2272E+02 -.7658E+01   .9999991  .0008840 -.0009848
T  131  1 .1925284E+07   5000026E-02  .9089E+02 -.8858E+02   .9999488 -.0020847 -.0099039
T  132  1 .1929128E+07   5000165E-02 -.2328E+02  .3953E+02   .9999982 -.0006195  .0018096
