============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  10 um) ===============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  221  1 .1854317E+07   1000012E-01 -.6545E+03  .2657E+03   .9999070 -.0107257  .0084276
T  222  1 .1851398E+07   1000011E-01 -.7499E+02  .2719E+03   .9999681  .0014848  .0078495
T  223  1 .1847429E+07   1000007E-01  .2337E+01 -.5521E+02   .9999874 -.0019256 -.0046457
T  224  1 .1853035E+07   1000009E-01  .1018E+02  .5639E+02   .9999701 -.0037310 -.0067736
T  225  1 .1840477E+07   1000000E-01  .9598E+03  .1381E+03   .9997497  .0214036 -.0065065
T  226  1 .1844475E+07   1000016E-01 -.3320E+03  .2175E+03   .9999920 -.0038582 -.0010803
T  227  1 .1852957E+07   1000001E-01  .3694E+03  .3111E+03   .9999425  .0107206 -.0001530
T  228  1 .1857287E+07   1000012E-01 -.1172E+03 -.1866E+03   .9999640  .0051900 -.0067115
T  229  1 .1835963E+07   1000008E-01  .1080E+03 -.1645E+03   .9999926 -.0015251 -.0035382
T  230  1 .1836297E+07   1000005E-01 -.2024E+03  .3603E+03   .9999804 -.0016090  .0060550
T  231  1 .1859635E+07   1000008E-01  .2863E+03  .3011E+03   .9999636  .0041796  .0074335
T  232  1 .1845094E+07   1000020E-01  .2514E+03  .4425E+03   .9999362  .0006626  .0112726
T  233  1 .1852227E+07   1000007E-01  .6135E+03 -.4101E+03   .9999554  .0067357 -.0066169
T  234  1 .1844220E+07   1000021E-01  .1462E+03 -.1182E+03   .9999942  .0032209 -.0010712
T  235  1 .1860216E+07   1000016E-01 -.1715E+04 -.1395E+04   .9991730 -.0374240 -.0158992
T  236  1 .1841727E+07   1000019E-01 -.2623E+02  .6003E+03   .9998805  .0067326  .0139170
T  237  1 .1839218E+07   1000020E-01 -.3829E+03  .1834E+03   .9999920 -.0018541  .0035375
T  238  1 .1860276E+07   1000010E-01 -.1633E+02  .3361E+03   .9999524 -.0019854  .0095512
